code,company,name,gender,age,userCode,trip_count,avg_flight_price,avg_distance,avg_travel_time,avg_hotel_spend,avg_stay_days,flightType,agency
0,4You,Roy Braun,male,21,0.0,54.0,976.832962962963,530.4903703703703,1.3788888888888888,593.1451851851851,2.6296296296296298,firstClass,CloudFy
1,4You,Joseph Holsten,male,37,1.0,4.0,683.6725,317.485,0.825,193.36,1.0,premium,CloudFy
2,4You,Wilma Mcinnis,female,48,2.0,72.0,910.7184722222222,547.3963888888889,1.4227777777777777,558.0033333333333,2.6944444444444446,economic,Rainbow
3,4You,Paula Daniel,female,23,3.0,120.0,886.80075,494.6786666666667,1.2853333333333334,499.56850000000003,2.3,firstClass,CloudFy
4,4You,Patricia Carson,female,44,4.0,112.0,931.6311607142858,505.10553571428574,1.3125,565.3160714285715,2.5714285714285716,firstClass,Rainbow
5,4You,Trina Thomas,none,47,5.0,26.0,1001.1746153846154,536.1807692307692,1.393846153846154,453.5423076923077,2.076923076923077,firstClass,FlyingDrops
6,4You,Jesse Decelle,male,46,6.0,46.0,902.3795652173912,455.10434782608695,1.182608695652174,541.5626086956522,2.5217391304347827,firstClass,Rainbow
7,4You,Gregoria Gil,female,21,7.0,28.0,777.3778571428572,381.23785714285714,0.9907142857142857,468.80428571428575,2.5714285714285716,firstClass,CloudFy
8,4You,Jack Sabo,none,41,8.0,104.0,944.9578846153846,487.4713461538462,1.2661538461538462,612.7375,2.6153846153846154,firstClass,Rainbow
9,4You,Debbie Helms,none,35,9.0,64.0,972.49140625,542.4484375,1.409375,561.5721875,2.84375,firstClass,Rainbow
10,4You,Melvin Lovejoy,male,36,10.0,34.0,888.5823529411764,518.7958823529412,1.3482352941176472,577.1241176470588,2.6470588235294117,premium,CloudFy
11,4You,Virginia Roberts,female,61,11.0,108.0,914.2037037037037,501.3598148148148,1.3031481481481482,545.7411111111111,2.4814814814814814,firstClass,CloudFy
12,4You,David Thomas,male,53,12.0,52.0,911.1451923076922,471.92846153846153,1.2261538461538461,512.8488461538461,2.4615384615384617,firstClass,Rainbow
13,4You,Irene Tucker,none,36,13.0,100.0,981.5764,551.9119999999999,1.4338,591.9352,2.72,firstClass,Rainbow
14,4You,John Cody,male,37,14.0,18.0,921.0633333333333,567.2266666666667,1.4744444444444444,548.8344444444444,2.4444444444444446,economic,CloudFy
15,4You,Janice Cudney,female,56,15.0,94.0,864.8003191489362,520.2614893617022,1.3519148936170213,469.36638297872344,2.4468085106382977,economic,CloudFy
16,4You,Shane Hubner,female,47,16.0,100.0,1011.217,559.571,1.4535999999999998,488.4086,2.26,firstClass,CloudFy
17,4You,Victor Tribbett,none,25,17.0,16.0,698.678125,374.25875,0.9725,533.11375,2.5,economic,CloudFy
18,4You,Tanya Orourke,none,65,18.0,80.0,995.6176250000001,560.67375,1.45675,471.553,2.25,firstClass,Rainbow
19,4You,John Bennett,male,22,19.0,62.0,915.3016129032258,477.29645161290324,1.2396774193548388,649.9677419354839,2.838709677419355,firstClass,CloudFy
20,4You,Sally Roberts,female,65,20.0,50.0,946.2560000000001,488.38,1.2692,531.1088,2.52,premium,CloudFy
21,4You,Julia Meinhart,female,56,21.0,106.0,1005.9066981132075,549.7675471698113,1.4284905660377358,500.7766037735849,2.509433962264151,firstClass,CloudFy
22,4You,Michele Ashford,female,51,22.0,94.0,928.3046808510638,506.29127659574465,1.315531914893617,525.6017021276596,2.5531914893617023,firstClass,Rainbow
23,4You,Leslie Sandoval,male,35,23.0,78.0,937.6079487179487,568.224358974359,1.4764102564102564,567.2458974358974,2.41025641025641,economic,CloudFy
24,4You,Calvin Cuellar,male,60,24.0,22.0,970.2545454545453,570.5009090909091,1.4827272727272727,630.7354545454546,3.1818181818181817,firstClass,Rainbow
